"site.id","bio.site","tps_lessthan2mm","tps_2_8","tps_4","tps_5_6","tps_8","tps_11","tps_16","tps_22_6","tps_32","tps_45","tps_64","tps_90","tps_128","tps_190","tps_190mm_1m","tps_lessthan1mboulder","tps_bedrock"
"South_CH5_28863","404BA0964",5,0,0,0,0,5,9,8,9,9,4,4,2,6,14,0,5
"South_CL2_44561","OC5",60,1,0,1,1,2,2,8,2,1,1,0,1,0,0,0,0
"South_CL5_43942","SMC34888",18,2,1,0,2,7,5,8,6,11,8,4,2,2,1,0,1
"South_PL3_22854","403S18093",27,4,6,5,2,4,4,0,5,4,1,0,1,2,12,3,0
"South_CL5_23253","403S07024",32,3,0,1,3,1,1,1,1,1,1,1,1,8,24,1,0
"South_PL3_23717","403R4S193",68,0,0,0,0,2,2,0,1,0,0,0,0,2,5,0,0
"South_CH5_28865","404VCLSCU",22,0,0,0,0,0,6,4,3,4,6,5,10,9,9,0,2
"South_UL2_37060"," SMC31643",50,6,10,6,4,2,2,0,0,0,0,0,0,0,0,0,0
"South_UH3_39700"," 801PLC469",25,1,1,3,3,2,1,5,3,5,4,3,2,7,15,0,0
"South_UL5_48822","SMC21069",76,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"South_CH5_15973","SMC41569",4,1,1,2,3,3,4,1,2,3,5,2,5,7,26,11,0
"South_CH4_15972"," SMC28762",3,0,0,1,1,1,2,3,6,5,6,7,8,8,23,6,0
"South_UL3_15732","SMC13155",56,4,5,2,1,1,3,0,2,1,1,1,0,2,1,0,0
"South_PL2_15472","SMC24950",25,1,3,1,13,7,3,3,2,2,4,1,3,7,5,0,0
"South_CL2_15407","SMC33813",21,0,1,0,2,11,12,11,2,2,4,8,2,4,0,0,0
"South_PH5_45326","901SJMS1x",16,3,2,2,1,1,5,4,6,6,4,6,4,5,14,1,0
"South_PL5_28394","404S16232",47,4,1,1,2,1,3,3,4,5,4,0,4,1,0,0,0
"South_CL1_23267","403S07024",30,2,2,1,1,8,6,5,4,5,2,1,1,2,10,0,0
"South_UH1_26809",NA,37,5,0,0,1,0,5,7,7,5,4,9,0,0,0,0,0
"South_PL4_45111","901SJOFIX",30,6,7,0,1,0,0,1,1,0,2,1,0,0,8,0,23
"South_UL1_43480","801SAR151",40,3,4,3,3,2,8,4,5,6,2,0,0,0,0,0,0
"South_CL1_5523",NA,18,1,0,2,2,1,4,11,11,10,6,6,2,1,0,0,5
"South_UL4_13094",NA,9,2,4,3,8,10,22,12,4,5,0,0,1,0,0,0,0
"South_UL4_8605",NA,65,2,0,0,7,2,1,2,0,0,0,1,0,0,0,0,0
"South_UH4_9550",NA,31,0,0,0,4,7,4,18,9,6,1,0,0,0,0,0,0
"South_UH2_13647",NA,32,0,1,0,1,4,10,9,6,6,6,2,1,1,1,0,0
"South_UH5_16446"," SMC30428",32,0,0,3,2,0,4,1,2,5,6,9,8,5,3,0,0
"South_UL2_16853","SMC02420",6,1,0,0,1,0,3,2,1,2,1,1,7,9,27,19,0
"South_UL5_16614","SMC47496",36,3,0,2,1,1,0,2,2,6,4,7,12,1,3,0,0
"South_CH2_28655","404S11406",16,2,1,3,1,1,2,1,1,0,3,6,0,8,17,18,0
"South_CH3_45125","901SCCA74",6,0,0,1,0,6,2,2,2,5,3,6,0,6,11,5,22
"South_UL1_43409","SMC10685",27,0,2,0,3,2,4,7,16,4,8,2,2,3,0,0,0
"South_PH4_29231","404SMB035",43,0,0,0,0,2,0,3,6,3,5,1,3,4,5,3,2
"South_CL3_45211","901S01705",7,1,1,1,4,1,2,9,0,6,3,3,6,12,16,3,4
"South_CH2_32968","SMC05968",16,0,0,0,0,2,0,6,5,9,11,12,5,5,7,0,0
"South_PL4_53199","904AHC003",70,3,1,2,1,0,2,1,0,0,0,0,0,0,0,0,0
"South_CL4_53173","SDC8",47,3,4,4,4,0,4,5,6,1,2,0,0,0,0,0,0
"South_PH3_53156","SMC01049",69,0,2,4,1,4,0,0,0,0,0,0,0,0,0,0,0
"South_CH1_52922","SDC6",25,10,11,4,2,2,4,5,0,3,1,2,0,1,6,4,0
"South_CL4_59606","911TJKTC5",43,3,1,1,0,2,4,5,3,0,2,2,0,0,2,0,12
"South_CL5_59088","911TJPVC1",43,16,12,5,0,1,0,0,0,0,0,1,0,0,2,0,0
"South_CL3_58997","911NCPCR2",11,1,1,0,0,1,1,2,4,5,3,4,1,4,15,5,22
"South_PL5_55061","906M21739",75,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0
"South_CH1_32561","SMC00464",21,4,4,1,2,3,0,4,2,1,0,2,6,7,13,8,2
"South_PL5_26835"," SMC06612",41,5,1,5,6,3,7,6,4,1,1,0,0,0,0,0,0
"South_UL3_26793","VC7",25,3,4,2,3,6,13,5,6,6,4,2,0,1,0,0,0
"South_PH2_24119","403S07227",21,0,0,0,0,0,1,2,1,2,2,4,5,4,14,8,15
"South_CH4_24236","403M01539",9,3,5,4,3,2,4,0,1,2,2,7,4,8,14,5,7
"South_PH1_17267","VENTURA 14",21,0,0,3,3,2,5,5,3,5,3,7,9,5,7,2,0
"South_PL3_28608","404S35418",36,2,0,0,0,0,2,2,2,1,2,11,7,4,11,0,0
"South_CH4_43757","Santiago1",5,1,2,4,5,2,12,7,11,7,12,3,4,3,2,0,0
"South_CH3_43684","Silverado1",28,0,5,1,3,3,3,4,2,1,1,3,2,4,7,0,13
"South_CH1_45567","901ATCTCX",15,2,1,1,2,1,6,4,7,2,8,5,3,12,11,0,0
"South_CH3_45554","REF-TCAS",9,2,2,2,0,3,3,2,4,3,8,4,2,3,12,9,12
"South_PL1_45716","901M14138",19,0,1,1,2,3,6,6,10,8,8,3,2,7,2,1,1
"South_PL2_44819","Serrano9A",54,3,3,2,3,4,3,0,0,1,0,1,0,1,4,0,1
"South_PL2_44800"," 801M12665",66,5,2,0,2,0,2,2,1,0,0,0,0,0,0,0,0
"South_CH2_10195","405SGEASC",26,0,0,0,0,0,4,2,8,7,5,6,5,12,5,0,0
"South_PL1_28573","SMC02152",17,1,1,0,2,0,4,3,4,5,8,11,9,7,7,0,1
"South_PL4_28521","404S26868",43,3,1,3,2,2,2,5,9,4,5,1,0,0,0,0,0
"South_PL1_28522","404S13416",50,3,6,1,4,2,4,2,2,2,1,0,0,1,0,0,0
